tpop_2021, tpop_2020, tpop_2015, tpop_2016, tpop_2017, vifsa_name, tpop_2018, lga_name, tpop_2011, tpop_2012, tpop_2013, tpop_2014, tpop_2019, vifsa_code, tpop_2031, tpop_2030, tpop_2028, tpop_2029, tpop_2026, lga_code, tpop_2027, tpop_2024, tpop_2025, tpop_2022, tpop_2023
3395,3397,3454,3414,3407,"VIFSA St Arnaud District",3403,"Northern Grampians (S)",3592,3634,3579,3501,3400,"VIFSA.25810.10",3364,3362,3360,3361,3360,25810,3359,3371,3365,3386,3378
8159,8171,8223,8243,8221,"VIFSA Stawell District",8201,"Northern Grampians (S)",8461,8306,8200,8218,8185,"VIFSA.25810.20",8177,8149,8096,8122,8050,25810,8073,8087,8068,8132,8109
48053,47465,44428,44902,45531,"VIFSA Lalor-Thomastown District",46201,"Whittlesea (C)",42212,42687,43330,43961,46827,"VIFSA.27070.20",55978,55093,53374,54221,51723,27070,52541,50225,50964,48762,49489
46329,45992,44186,44441,44829,"VIFSA Mill Park District",45251,"Whittlesea (C)",44001,43778,43705,44036,45615,"VIFSA.27070.30",51942,51231,49891,50542,48660,27070,49266,47688,48164,46753,47215
54440,51905,46127,46920,47592,"VIFSA Albert Park-Port Melbourne District",48700,"Port Phillip (C)",40817,42404,43579,44868,50146,"VIFSA.25900.10",74111,72529,69212,70906,65615,25900,67463,61538,63764,56958,59292
43083,42332,38773,39439,40141,"VIFSA Wodonga Rural City",40858,"Wodonga (RC)",36025,36576,37317,38131,41589,"VIFSA.27170.10",51428,50551,48815,49679,47102,27170,47957,45466,46278,43867,44661
123200,118258,96057,100565,104558,"VIFSA Hoppers Crossing-Truganina District",108884,"Wyndham (C)",73953,79580,83897,89609,113362,"VIFSA.27260.10",165812,162193,154376,158486,146035,27260,150218,137022,141586,127772,132428
71120,69281,58545,61170,63449,"VIFSA Point Cook-Werribee South District",65489,"Wyndham (C)",44224,48359,51881,55634,67408,"VIFSA.27260.20",86398,84873,81712,83290,78521,27260,80121,75509,76998,72569,74030
72138,68715,55165,56818,59053,"VIFSA Werribee-Wyndham Vale District",62034,"Wyndham (C)",48521,50920,53333,54472,65292,"VIFSA.27260.30",107332,103803,96685,100247,89494,27260,93098,82514,85991,75561,79035
67193,65819,58138,60274,61870,"VIFSA Abbotsford-Fitzroy District",63229,"Yarra (C)",51060,52234,53972,55927,64559,"VIFSA.27350.10",78368,77329,75283,76311,73235,27350,74260,70878,72053,68460,69697
35278,34704,31178,31951,32804,"VIFSA Burnley-Richmond District",33467,"Yarra (C)",27841,28738,29540,30540,34128,"VIFSA.27350.20",40652,40150,39138,39651,38122,27350,38628,37016,37575,35917,36461
63233,62867,60603,61130,61631,"VIFSA Elwood-St Kilda District",62067,"Port Phillip (C)",56443,57989,58842,59977,62472,"VIFSA.25900.20",66375,66066,65436,65750,64784,25900,65115,64181,64486,63598,63882
74103,73104,66552,68217,69684,"VIFSA Prahran-Toorak District",70859,"Stonnington (C)",57585,59398,60898,63200,72055,"VIFSA.26350.20",83077,82177,80406,81288,78677,26350,79536,76911,77814,75102,76015
10308,10229,9871,9938,10005,"VIFSA Strathbogie Shire",10076,"Strathbogie (S)",9601,9663,9698,9809,10151,"VIFSA.26430.10",11108,11024,10859,10940,10699,26430,10779,10536,10617,10382,10458
10966,10891,10643,10607,10674,"VIFSA Surf Coast Rural",10745,"Surf Coast (S)",10960,10965,10960,10698,10817,"VIFSA.26490.10",11798,11711,11538,11624,11366,26490,11452,11202,11284,11043,11122
22198,21499,18237,18730,19414,"VIFSA Torquay Town",20106,"Surf Coast (S)",15702,16514,17306,17776,20801,"VIFSA.26490.20",28143,27570,26425,26997,25283,26490,25853,24041,24661,22810,23424
